"importId";"partner_importId";"ownerName";"location";"bankAddress";"bic";"iban";"countryCode";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic";
118;131;"DESCHAMPS Alexandre";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053189855651987499";"FR";"30002";"05318";98556519874;99;"FR30002053189855651987499 CRLYFRPPXXX";
119;1026;"CARPENTIER Elisa";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053189167731213599";"FR";"30002";"05318";91677312135;99;"FR30002053189167731213599 CRLYFRPPXXX";
120;1027;"ABBAS Mohamed";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053186825979451099";"FR";"30002";"05318";68259794510;99;"FR30002053186825979451099 CRLYFRPPXXX";
121;1028;"GUILLAUME Anne-Lise";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053185401899003799";"FR";"30002";"05318";54018990037;99;"FR30002053185401899003799 CRLYFRPPXXX";
122;1029;"ADAM Enzo";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053185023871941699";"FR";"30002";"05318";50238719416;99;"FR30002053185023871941699 CRLYFRPPXXX";
123;1030;"BA Anyssa";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053181587023301399";"FR";"30002";"05318";15870233013;99;"FR30002053181587023301399 CRLYFRPPXXX";
124;133;"BOURGEOIS Luc";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052656250335737999";"FR";"30002";"05265";62503357379;99;"FR30002052656250335737999 CRLYFRPPXXX";
125;134;"ARAFI Zohra";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052656514091144399";"FR";"30002";"05265";65140911443;99;"FR30002052656514091144399 CRLYFRPPXXX";
126;1031;"MENACER Brahim";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052658821887836299";"FR";"30002";"05265";88218878362;99;"FR30002052658821887836299 CRLYFRPPXXX";
127;1032;"ABIDI Yacoub";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052658138929871099";"FR";"30002";"05265";81389298710;99;"FR30002052658138929871099 CRLYFRPPXXX";
128;135;"CHARLES Jeannot";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052651352481886299";"FR";"30002";"05265";13524818862;99;"FR30002052651352481886299 CRLYFRPPXXX";
129;137;"GUILLOT Kévin";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052784875790099299";"FR";"30002";"05278";48757900992;99;"FR30002052784875790099299 CRLYFRPPXXX";
130;138;"NOEL Jean Nicolas";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052789027643888199";"FR";"30002";"05278";90276438881;99;"FR30002052789027643888199 CRLYFRPPXXX";
131;1033;"MEYER Philippe";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052784926863175899";"FR";"30002";"05278";49268631758;99;"FR30002052784926863175899 CRLYFRPPXXX";
132;1034;"LUCAS Julien";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052783862002554799";"FR";"30002";"05278";38620025547;99;"FR30002052783862002554799 CRLYFRPPXXX";
133;139;"MEUNIER Paul";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052784693082275199";"FR";"30002";"05278";46930822751;99;"FR30002052784693082275199 CRLYFRPPXXX";
