"partner";"ownerName";"location";"bankAddress";"bic";"iban";"countryCode";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic"
124;"BOURGEOIS Luc";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052658636390334499";"FR";"30002";"05265";86363903344;99;"FR30002052658636390334499 CRLYFRPPXXX"
125;"ARAFI Zohra";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052659008210973699";"FR";"30002";"05265";90082109736;99;"FR30002052659008210973699 CRLYFRPPXXX"
126;"MENACER Brahim";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052655842960994199";"FR";"30002";"05265";58429609941;99;"FR30002052655842960994199 CRLYFRPPXXX"
127;"ABIDI Yacoub";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052652281150157699";"FR";"30002";"05265";22811501576;99;"FR30002052652281150157699 CRLYFRPPXXX"
128;"CHARLES Jeannot";35000;"4 RUE DE LA MONNAIE  35000 RENNES";"CRLYFRPPXXX";"FR30002052652791818244999";"FR";"30002";"05265";27918182449;99;"FR30002052652791818244999 CRLYFRPPXXX"
129;"GUILLOT Kévin";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052784288030403499";"FR";"30002";"05278";42880304034;99;"FR30002052784288030403499 CRLYFRPPXXX"
130;"NOEL Jean Nicolas";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052785238488993399";"FR";"30002";"05278";52384889933;99;"FR30002052785238488993399 CRLYFRPPXXX"
131;"MEYER Philippe";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052784035990767699";"FR";"30002";"05278";40359907676;99;"FR30002052784035990767699 CRLYFRPPXXX"
132;"LUCAS Julien";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052784079241940399";"FR";"30002";"05278";40792419403;99;"FR30002052784079241940399 CRLYFRPPXXX"
133;"MEUNIER Paul";44000;"2 ALLEE PENTHIEVRE  44000 NANTES";"CRLYFRPPXXX";"FR30002052783256618791799";"FR";"30002";"05278";32566187917;99;"FR30002052783256618791799 CRLYFRPPXXX"
